Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       23     0.00     0.00  __gnu_cxx::new_allocator<std::vector<int, std::allocator<int> > >::deallocate(std::vector<int, std::allocator<int> >*, unsigned long)
  0.00      0.00     0.00       23     0.00     0.00  __gnu_cxx::new_allocator<std::vector<int, std::allocator<int> > >::allocate(unsigned long, void const*)
  0.00      0.00     0.00       23     0.00     0.00  std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_allocate(unsigned long)
  0.00      0.00     0.00       23     0.00     0.00  std::allocator_traits<std::allocator<std::vector<int, std::allocator<int> > > >::deallocate(std::allocator<std::vector<int, std::allocator<int> > >&, std::vector<int, std::allocator<int> >*, unsigned long)
  0.00      0.00     0.00       23     0.00     0.00  std::allocator_traits<std::allocator<std::vector<int, std::allocator<int> > > >::allocate(std::allocator<std::vector<int, std::allocator<int> > >&, unsigned long)
  0.00      0.00     0.00       22     0.00     0.00  __gnu_cxx::new_allocator<void (**)(int)>::new_allocator()
  0.00      0.00     0.00       22     0.00     0.00  __gnu_cxx::new_allocator<void (**)(int)>::~new_allocator()
  0.00      0.00     0.00       22     0.00     0.00  std::_Deque_base<void (*)(int), std::allocator<void (*)(int)> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00       22     0.00     0.00  std::_Deque_base<void (*)(int), std::allocator<void (*)(int)> >::_M_get_map_allocator() const
  0.00      0.00     0.00       22     0.00     0.00  std::allocator<void (**)(int)>::allocator<void (*)(int)>(std::allocator<void (*)(int)> const&)
  0.00      0.00     0.00       22     0.00     0.00  std::allocator<void (**)(int)>::~allocator()
  0.00      0.00     0.00       22     0.00     0.00  std::_Deque_base<void (*)(int), std::allocator<void (*)(int)> >::_M_get_Tp_allocator()
  0.00      0.00     0.00       22     0.00     0.00  std::_Deque_iterator<void (*)(int), void (*&)(int), void (**)(int)>::_M_set_node(void (***)(int))
